"id" "host_is_superhost" "host_identity_verified" "room_type" "accommodates" "bathrooms" "bedrooms" "price"
40539898 "True" "True" "Entire home/apt" 4 1 1 130
40699310 "False" "True" "Entire home/apt" 14 2 5 200
40733963 "False" "False" "Entire home/apt" 11 4 4 440
41064320 "False" "False" "Entire home/apt" 4 1 0 125
41179062 "False" "True" "Entire home/apt" 5 1 2 300
41289241 "False" "True" "Entire home/apt" 4 1 2 120
41819596 "False" "False" "Entire home/apt" 6 1 2 200
42543981 "False" "False" "Entire home/apt" 8 2 3 200
43045062 "True" "True" "Entire home/apt" 5 1 1 175
43603849 "False" "False" "Private room" 3 1 0 35
